song_id,track_name,album_name,uri_id,release_date,explicit,type,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7GajHE5z66qqmzTrKVFCab,Take Care of You,Take Care of You,spotify:track:7GajHE5z66qqmzTrKVFCab,2020-06-12,True,track,66,0.66,0.667,-6.87,0.0474,0.141,5.26e-05,0.107,0.452,114.901
3hWfKBt3n7j1xqIy6LA5ve,Astronomia,Astronomia,spotify:track:3hWfKBt3n7j1xqIy6LA5ve,2016-09-16,False,track,71,0.653,0.945,-2.634,0.096,0.00561,0.915,0.439,0.326,126.093
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Easy On Me,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,2021-10-14,False,track,100,0.604,0.366,-7.519,0.0282,0.578,0,0.133,0.13,141.981
2etALbTip5aL30PxVbELDU,Summer Lover,Summer Lover,spotify:track:2etALbTip5aL30PxVbELDU,2021-08-20,False,track,27,0.564,0.687,-6.461,0.0264,0.281,0,0.156,0.768,86.95
0D9FOgEG9uZm8EsE5q2Y6F,Lost,Lost,spotify:track:0D9FOgEG9uZm8EsE5q2Y6F,2021-05-14,False,track,45,0.543,0.458,-6.641,0.0306,0.306,0,0.105,0.241,126.804
57RA3JGafJm5zRtKJiKPIm,Are You Bored Yet? (feat. Clairo),Nothing Happens,spotify:track:57RA3JGafJm5zRtKJiKPIm,2019-03-22,False,track,82,0.682,0.683,-6.444,0.0287,0.156,2.32e-05,0.273,0.64,120.023
1bVR1UVkeaJRK5LNpIe7Gp,Fire,Fire,spotify:track:1bVR1UVkeaJRK5LNpIe7Gp,2016-09-30,False,track,52,0.386,0.714,-5.597,0.381,0.263,0,0.233,0.289,89.807
2U7vXey8ZBg5DY4L5Wff0G,Night After Night,Night After Night,spotify:track:2U7vXey8ZBg5DY4L5Wff0G,2021-08-06,False,track,41,0.697,0.653,-5.117,0.0473,0.0909,0,0.0881,0.625,91.977
5vQwugZBbpQxqe5H0GN3AY,Anda Suelta,Anda Suelta,spotify:track:5vQwugZBbpQxqe5H0GN3AY,2021-03-12,False,track,63,0.744,0.945,-3.004,0.117,0.0791,4.58e-06,0.317,0.672,119.988
6VmExNANnycvFtCmARWjn2,The Midnight Sky,The Midnight Sky,spotify:track:6VmExNANnycvFtCmARWjn2,2020-12-23,False,track,29,0.151,0.278,-13.076,0.0359,0.825,0.928,0.112,0.0538,78.379
7FbpHrftVefF9jfsY0rouK,Otra Noche Sin Ti,Otra Noche Sin Ti,spotify:track:7FbpHrftVefF9jfsY0rouK,2021-12-03,False,track,0,0.503,0.548,-7.564,0.164,0.0751,0.000234,0.145,0.441,94.036
1r7MrNL4fRwFjq5h9u5Zdf,Water Run Dry,Water Run Dry,spotify:track:1r7MrNL4fRwFjq5h9u5Zdf,2020-07-16,True,track,47,0.729,0.644,-4.863,0.0651,0.293,0,0.096,0.391,156.025
4lQAyzhjWWOMkJPFepV5nr,LAZY,A Shaun the Sheep Movie: Farmageddon (Original Motion Picture Soundtrack),spotify:track:4lQAyzhjWWOMkJPFepV5nr,2019-10-18,False,track,33,0.657,0.531,-12.733,0.0423,0.00637,0.00274,0.113,0.986,150.001
4ZkQ2t966y0fmTW6TWNwR2,Emergency (feat. Gunna & Young Thug),Spiral: From The Book of Saw Soundtrack,spotify:track:4ZkQ2t966y0fmTW6TWNwR2,2021-05-14,True,track,57,0.754,0.817,-5.283,0.254,0.073,0,0.379,0.269,142.783
4w47S36wQGBhGg073q3nt7,TKN (feat. Travis Scott),TKN (feat. Travis Scott),spotify:track:4w47S36wQGBhGg073q3nt7,2020-05-28,False,track,75,0.776,0.509,-6.266,0.467,0.192,1.49e-06,0.115,0.485,94.634
6ZSO7kPn8IMJFymyticbJO,Gold,low kii savage,spotify:track:6ZSO7kPn8IMJFymyticbJO,2016-03-22,False,track,66,0.6,0.412,-9.343,0.344,0.615,0.0025,0.134,0.408,113.049
71R8HJxQk5qMiRstrlXN9t,2/Catorce,2/Catorce,spotify:track:71R8HJxQk5qMiRstrlXN9t,2021-02-14,True,track,82,0.54,0.455,-5.988,0.224,0.675,1.08e-05,0.12,0.432,83.876
4YAg8h8WliHZlW5wuv8Jpk,To Be Young (feat. Doja Cat),To Be Young (feat. Doja Cat),spotify:track:4YAg8h8WliHZlW5wuv8Jpk,2020-07-13,True,track,64,0.525,0.649,-4.802,0.0655,0.241,0,0.129,0.286,155.995
0RE4crnT3jRms1xxVlEZx2,Bad boy,Loud,spotify:track:0RE4crnT3jRms1xxVlEZx2,2018-03-09,False,track,73,0.796,0.496,-8.165,0.0388,0.431,5.51e-06,0.0781,0.716,97.988
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman),spotify:track:4cG7HUWYHBV6R6tHn1gxrl,2021-01-15,False,track,87,0.824,0.862,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98
4DpNNXFMMxQEKl7r0ykkWA,Play Date,Cry Baby,spotify:track:4DpNNXFMMxQEKl7r0ykkWA,2015-08-14,True,track,82,0.68,0.729,-5.077,0.0475,0.612,0,0.224,0.446,123.97
0q0QWOkcNNGtA3ZXzOujPe,Safe Zone,Sad in Scandinavia,spotify:track:0q0QWOkcNNGtA3ZXzOujPe,2020-07-24,False,track,43,0.742,0.73,-5.421,0.0441,0.0113,3e-05,0.0731,0.707,120.022
6dahFWC77PSIkw8Qvrlo32,Story,Story,spotify:track:6dahFWC77PSIkw8Qvrlo32,2017-05-29,False,track,37,0.638,0.585,-5.344,0.121,0.539,5.94e-06,0.121,0.421,179.871
2fvSkk17490vnIvGvH2r5O,DO WHAT I WANNA,DO WHAT I WANNA,spotify:track:2fvSkk17490vnIvGvH2r5O,2021-08-11,True,track,21,0.682,0.512,-10.024,0.128,0.0406,0,0.134,0.549,139.977
1GeECVH4Msg1zLm8DExkbH,Wind It Up,The Sweet Escape,spotify:track:1GeECVH4Msg1zLm8DExkbH,2006-01-01,False,track,50,0.961,0.9,-6.874,0.0678,0.309,0.000199,0.354,0.95,120.006
1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),Trampoline (with ZAYN),spotify:track:1iQDltZqI7BXnHrFy4Qo1k,2019-09-26,False,track,73,0.619,0.459,-5.782,0.0334,0.56,0,0.137,0.498,126.803
2e5Adp1IG1mpm346LILmIc,Meleğim,Meleğim,spotify:track:2e5Adp1IG1mpm346LILmIc,2021-12-03,False,track,0,0.691,0.696,-4.686,0.0577,0.103,0,0.327,0.546,95.026
7hsWlOs1hC4uLdf7bZ44RM,Better In College (feat. Ashe),Better In College (feat. Ashe),spotify:track:7hsWlOs1hC4uLdf7bZ44RM,2020-09-11,False,track,46,0.507,0.668,-5.461,0.142,0.246,0,0.19,0.68,177.702
5VSCgNlSmTV2Yq5lB40Eaw,Love Me Again,Tribute,spotify:track:5VSCgNlSmTV2Yq5lB40Eaw,2013-01-01,False,track,65,0.495,0.894,-4.814,0.0441,0.00453,0.000596,0.103,0.213,126.03
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,When It's All Said And Done... Take Time,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,2020-03-27,False,track,86,0.449,0.465,-8.964,0.0791,0.524,1.02e-06,0.303,0.543,89.087
2xCGBWfzTe8l2kvHpgvB6M,prom dress,prom dress,spotify:track:2xCGBWfzTe8l2kvHpgvB6M,2019-09-17,False,track,74,0.56,0.674,-6.048,0.0446,0.698,0,0.123,0.421,119.942
0DwVfCYLrVXgvejYbWwZAd,Break it off,Break it off,spotify:track:0DwVfCYLrVXgvejYbWwZAd,2021-06-04,False,track,75,0.544,0.888,-5.003,0.116,0.00311,7.8e-06,0.076,0.746,171.69
5mqzhMuUpvnMfwNz6iepmO,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2","Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward)",spotify:track:5mqzhMuUpvnMfwNz6iepmO,2018-05-15,True,track,69,0.618,0.845,0.175,0.132,0.114,0,0.415,0.486,171.921
2eE8OyLj3gnrs0JwNAQlUN,Gimme That,Gimme That,spotify:track:2eE8OyLj3gnrs0JwNAQlUN,2020-05-08,False,track,35,0.763,0.617,-6.672,0.0297,0.11,4.83e-05,0.0968,0.676,100.034
1GkHyypTFkUf0QQKwYoXH4,You (with Marshmello & Vance Joy),You (with Marshmello & Vance Joy),spotify:track:1GkHyypTFkUf0QQKwYoXH4,2021-01-29,False,track,72,0.668,0.563,-6.433,0.0522,0.0493,0,0.119,0.305,103.116
31ENsHZWhAD9XVtCcoOw1J,BNR,Ice Melt,spotify:track:31ENsHZWhAD9XVtCcoOw1J,2021-04-30,False,track,52,0.642,0.602,-8.414,0.0293,0.279,0.601,0.115,0.383,101.539
73HkJbtkrKCKBzuaYorTGX,Titans (feat. Sia & Labrinth),Music Is The Weapon,spotify:track:73HkJbtkrKCKBzuaYorTGX,2021-03-26,False,track,57,0.722,0.858,-4.892,0.0445,0.0999,0.000175,0.144,0.599,93.976
5vlEg2fT4cFWAqU5QptIpQ,Replay,Replay,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,2009-08-11,False,track,73,0.706,0.751,-6.323,0.0708,0.173,0,0.168,0.195,91.031
4w7vZjpsnpKizj7NE0Nuld,THE END,THE END,spotify:track:4w7vZjpsnpKizj7NE0Nuld,2020-10-30,False,track,60,0.639,0.711,-4.244,0.0315,0.0242,0,0.142,0.605,102.95
0OeFuOAu0P1ONYz5EDdqb2,Hypnotized,Hypnotized,spotify:track:0OeFuOAu0P1ONYz5EDdqb2,2020-04-08,False,track,53,0.69,0.813,-5.084,0.0994,0.0968,0.000324,0.108,0.703,108.067
3afkJSKX0EAMsJXTZnDXXJ,Strawberries & Cigarettes,Strawberries & Cigarettes,spotify:track:3afkJSKX0EAMsJXTZnDXXJ,2018-03-16,False,track,82,0.578,0.537,-8.676,0.0832,0.162,0,0.076,0.25,83.909
4P6g8wuXeR3wznFk7WnI4w,Losing Me,Losing Me,spotify:track:4P6g8wuXeR3wznFk7WnI4w,2019-08-14,False,track,66,0.66,0.449,-6.573,0.0442,0.209,0,0.111,0.237,133.984
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Never Really Over,spotify:track:5PYQUBXc7NYeI1obMKSJK0,2019-05-31,False,track,74,0.77,0.882,-4.792,0.0602,0.194,0,0.316,0.385,99.991
20L6erw0ny2hiwQg8c1Dj4,Daze Inn,Daze Inn,spotify:track:20L6erw0ny2hiwQg8c1Dj4,2020-03-27,False,track,51,0.635,0.768,-5.331,0.0385,0.17,0,0.382,0.58,149.01
08o7YsYkQXGjamCe9eDrrK,Match In The Rain,These Two Windows,spotify:track:08o7YsYkQXGjamCe9eDrrK,2020-05-29,False,track,62,0.777,0.716,-7.342,0.256,0.734,8.3e-05,0.116,0.829,120.052
2aGNR8A6GnHqoM78T31CCC,High Highs to Low Lows,High Highs to Low Lows,spotify:track:2aGNR8A6GnHqoM78T31CCC,2019-04-19,False,track,49,0.635,0.493,-8.631,0.0741,0.401,0,0.142,0.207,80.062
5aNWkMWnXjJGMTj16ikdRd,bored&blind,bored&blind,spotify:track:5aNWkMWnXjJGMTj16ikdRd,2021-03-04,False,track,52,0.734,0.545,-9.771,0.0597,0.103,0.000289,0.0882,0.783,146.076
6fU55C7VdMSSkJ0ZGmX2Kg,Tequila - Jax Jones & Martin Solveig Present Europa,Tequila,spotify:track:6fU55C7VdMSSkJ0ZGmX2Kg,2019-09-06,True,track,60,0.773,0.695,-7.101,0.0954,0.00144,0.0167,0.111,0.837,123.999
1nYeVF5vIBxMxfPoL0SIWg,Hallucinate,Future Nostalgia,spotify:track:1nYeVF5vIBxMxfPoL0SIWg,2020-03-27,False,track,72,0.627,0.69,-5.396,0.139,0.033,0,0.0742,0.627,122.053
1meosvrJFk4xXo1HwUIasC,M to the B,M to the B,spotify:track:1meosvrJFk4xXo1HwUIasC,2020-09-18,True,track,60,0.897,0.513,-6.973,0.309,0.571,0,0.101,0.692,139.935
5HArmECc1y0lCHKVKDKXa4,Break Up Song,Confetti,spotify:track:5HArmECc1y0lCHKVKDKXa4,2020-11-06,False,track,64,0.631,0.75,-5.416,0.0394,0.00388,0,0.286,0.593,90.019
6ssVkGgfkHn01CVTFdpGJ9,play w/ me,play w/ me,spotify:track:6ssVkGgfkHn01CVTFdpGJ9,2021-05-07,True,track,58,0.735,0.55,-7.153,0.177,0.6,2.5e-06,0.0931,0.762,147.968
1JGi2oEvxUQLHxyWYanhd9,Dear Anna,Dear Anna,spotify:track:1JGi2oEvxUQLHxyWYanhd9,2021-05-14,True,track,34,0.707,0.57,-8.276,0.0446,0.0498,0,0.102,0.288,170.033
4L4lClgi5m2Itz6Fgt750F,First Time,First Time,spotify:track:4L4lClgi5m2Itz6Fgt750F,2020-10-09,False,track,61,0.552,0.628,-6.897,0.292,0.701,1.9e-05,0.399,0.672,101.928
6NjQZ1WjinLjmrKYOsjbqF,New Love,New Love,spotify:track:6NjQZ1WjinLjmrKYOsjbqF,2021-05-07,False,track,35,0.756,0.781,-6.025,0.0668,0.136,0,0.329,0.887,146.908
6gvyOlnCNP8KZuvaxBqvSe,"Ay, DiOs Mío!","Ay, DiOs Mío!",spotify:track:6gvyOlnCNP8KZuvaxBqvSe,2021-12-03,False,track,0,0.715,0.706,-4.423,0.195,0.496,0.00134,0.106,0.522,179.997
1pvKnKFa3HBVvli5hb2Iix,Seeds,Ice Melt,spotify:track:1pvKnKFa3HBVvli5hb2Iix,2021-04-30,False,track,45,0.636,0.554,-10.68,0.0612,0.773,0.457,0.124,0.495,110.0
0bHUanZ2cT4cuAoCUAw41N,Next,Next,spotify:track:0bHUanZ2cT4cuAoCUAw41N,2020-09-11,False,track,37,0.866,0.786,-2.919,0.0698,0.108,3.95e-05,0.252,0.62,95.013
4D7tOyEvUdzNvkDXuD0PQW,Cruel Heart,In The Cold Light of Monday,spotify:track:4D7tOyEvUdzNvkDXuD0PQW,2018-10-05,False,track,52,0.532,0.359,-8.698,0.0266,0.553,8.88e-05,0.101,0.187,108.159
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,Cold Heart,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,2021-08-13,False,track,96,0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
56SkLjnwBXnAkHSf6jBPk3,Changing,Get To Know,spotify:track:56SkLjnwBXnAkHSf6jBPk3,2019-09-27,False,track,50,0.753,0.474,-8.657,0.0716,0.012,0,0.176,0.41,126.004
2xLOMHjkOK8nzxJ4r6yOKR,Birthday,PRISM,spotify:track:2xLOMHjkOK8nzxJ4r6yOKR,2013-10-18,False,track,65,0.719,0.674,-5.122,0.0681,0.0879,3.75e-06,0.112,0.843,125.98
0HnaqUxvHP5LaWdmWwJpiS,Love Somebody,Overexposed Track By Track,spotify:track:0HnaqUxvHP5LaWdmWwJpiS,2012-01-01,False,track,59,0.675,0.792,-6.303,0.0368,0.145,0,0.12,0.395,120.016
1Ov37jtRQ2YNAe8HzfczkL,Wildest Dreams,1989,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,2021-09-17,False,track,87,0.583,0.67,-7.289,0.0646,0.0374,0.0001,0.126,0.498,140.061
4Jz4bjXeiF2SXVj9P4YfY5,Keep Your Head Up,Andy Grammer,spotify:track:4Jz4bjXeiF2SXVj9P4YfY5,2011-06-14,False,track,73,0.674,0.778,-5.367,0.0376,0.0469,0,0.145,0.816,90.01
3qBwNiPApdpUWRNyc8s5W8,Adding,Adding,spotify:track:3qBwNiPApdpUWRNyc8s5W8,2021-07-30,True,track,68,0.629,0.534,-10.197,0.217,0.0603,0,0.132,0.715,84.04
0GLUBbX4daHJkT3RQHEOia,Upgrade U (feat. Jay-Z),B'Day Deluxe Edition,spotify:track:0GLUBbX4daHJkT3RQHEOia,2007-05-29,False,track,62,0.593,0.68,-5.556,0.335,0.00182,4.84e-05,0.31,0.483,84.547
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Dreamland,spotify:track:3USxtqRwSYz57Ewm6wWRMp,2020-08-07,False,track,89,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila,spotify:track:1rfofaqEpACxVEHIZBJe6W,2018-01-12,False,track,81,0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988
2bg5ySQEYgfxY2Lyhf46ZA,Grateful (Airmow Remix),Grateful (Airmow Remix),spotify:track:2bg5ySQEYgfxY2Lyhf46ZA,2019-03-27,False,track,38,0.681,0.801,-5.565,0.123,0.106,0,0.0808,0.776,149.999
5iubMV6ASiIcsLb0fs6u2y,Me Necesita,Me Necesita,spotify:track:5iubMV6ASiIcsLb0fs6u2y,2019-10-23,False,track,63,0.552,0.591,-4.717,0.102,0.0192,0,0.0877,0.706,87.222
0osvOdeD3YXZiWkT8MKolJ,Lifestyle (feat. Adam Levine),Lifestyle (feat. Adam Levine),spotify:track:0osvOdeD3YXZiWkT8MKolJ,2021-01-21,True,track,76,0.749,0.674,-5.128,0.0366,0.0209,0,0.169,0.711,123.055
2KCqAdd2ad0hpJc5ySoTE8,Coastline,Wanderlust,spotify:track:2KCqAdd2ad0hpJc5ySoTE8,2017-02-03,False,track,71,0.67,0.496,-11.23,0.0277,0.627,0.00325,0.0584,0.427,100.17
7KW3XQV5Or5CF57MYVj5h4,Party For One,Party For One,spotify:track:7KW3XQV5Or5CF57MYVj5h4,2019-05-17,False,track,55,0.699,0.633,-6.547,0.0362,0.0453,0,0.101,0.458,123.449
5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,spotify:track:5KawlOMHjWeUjQtnuRs22c,2019-04-12,False,track,82,0.645,0.862,-4.757,0.0965,0.0923,0,0.192,0.798,119.991
