endTime,artistName,trackName,msPlayed
2020-11-17 12:42,Madison Beer,Selfish,132290
2020-11-17 17:02,Super Data Science,"SDS 005 : Computer Forensics, Fraud Analytics And Knowing When To Take A Break With Dmitry Korneev",1544006
2020-11-18 05:27,Madison Beer,Selfish,68420
2020-11-18 05:28,Demi Lovato,Still Have Me,11750
2020-11-18 05:31,Dua Lipa,IDGAF,217946
2020-11-18 05:35,Jonas Blue,What I Like About You (feat. Theresa Rex),220396
2020-11-18 05:39,Ariana Grande,"break up with your girlfriend, i'm bored",190440
2020-11-18 05:43,Little Mix,Shout Out to My Ex,246240
2020-11-18 05:47,Miley Cyrus,Heart Of Glass (Live from the iHeart Festival),193325
2020-11-18 05:48,Dua Lipa,Cool,105520
2020-11-18 09:36,Dua Lipa,Cool,104093
2020-11-18 09:41,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),182623
2020-11-18 09:44,Selena Gomez & The Scene,Who Says,195613
2020-11-18 09:47,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,207904
2020-11-18 09:51,Dua Lipa,Good In Bed,218754
2020-11-18 09:55,Demi Lovato,I Love Me,203672
2020-11-18 09:59,Halsey,Without Me,201660
2020-11-18 10:01,Jax Jones,Harder (with Bebe Rexha),159760
2020-11-18 10:04,Jonas Brothers,Sucker,181026
2020-11-18 10:09,Dua Lipa,Levitating (feat. DaBaby),203064
2020-11-18 10:12,Ariana Grande,motive (with Doja Cat),167989
2020-11-18 10:14,Little Mix,Wasabi,154786
2020-11-18 10:17,NOTD,So Close,190302
2020-11-18 10:21,Harry Styles,Watermelon Sugar,174000
2020-11-18 10:25,Dua Lipa,New Rules,209320
2020-11-18 10:26,Lady Gaga,Sour Candy (with BLACKPINK),48997
2020-11-18 15:17,Ossie Woods,Le Beau,46267
2020-11-19 18:01,Dirty Loops,Breakdown,3725
2020-11-20 10:24,Lady Gaga,Sour Candy (with BLACKPINK),108736
2020-11-20 10:27,Sia,Together,205207
2020-11-20 10:32,Ariana Grande,pov,201882
2020-11-20 10:35,Ellie Goulding,Sixteen,201072
2020-11-20 10:38,Dua Lipa,Physical,193829
2020-11-20 10:41,Jonas Brothers,Only Human,183000
2020-11-20 10:46,Miley Cyrus,Slide Away,233654
2020-11-20 10:49,Sabrina Carpenter,Looking at Me,181120
2020-11-20 10:53,Clean Bandit,Solo (feat. Demi Lovato),222653
2020-11-20 10:56,Dua Lipa,Blow Your Mind (Mwah),178583
2020-11-20 10:57,Alessia Cara,Out Of Love,20982
2020-11-20 11:01,Little Mix,Break Up Song,200299
2020-11-20 11:01,Halsey,Graveyard,50680
2020-11-20 16:58,Dirty Loops,Breakdown,22778
2020-11-20 17:00,Dirty Loops,World On Fire,30760
2020-11-20 17:01,Ossie Woods,Le Beau,65690
2020-11-20 17:02,Canyon City,Olivia - Bonus Track,28692
2020-11-20 17:02,Nick Wilson,Everybody But Me,6082
2020-11-20 17:02,Grace Carter,Blame,5427
2020-11-20 17:03,King Princess,1950,27106
2020-11-20 17:03,Virginia To Vegas,We Are Stars,4530
2020-11-20 17:05,Ariana Grande,34+35,132557
2020-11-20 17:11,Ariana Grande,34+35,41249
2020-11-20 17:14,Gabbie Hanna,Butterflies,188903
2020-11-20 17:17,NEIKED,Sometimes,193695
2020-11-20 17:20,Nina Nesbitt,Loyal to Me,193453
2020-11-20 17:23,Hannah Montana,Ordinary Girl,7660
2020-11-21 10:21,Halsey,Graveyard,131164
2020-11-21 10:24,Bebe Rexha,"Baby, I'm Jealous (feat. Doja Cat)",175873
